key,2,3
27,環繞海洋和天空的神祇,"『我們遭遇的巨大鯨魚，身上絢麗如薩貝尼亞織物……但它異常兇猛，讓人恐懼不已。』南洋群島傳說中有關飛行鯨的故事至今仍在流傳。尤其以「肆惡摩」最為著名，但據卡利卡說，在阿羅阿羅島上稱之為「克圖杜克」，似乎還有供奉它作為神使的雕像。換句話說，馬托夏遇到的可能是那個「克圖杜克」本身。聽到這番話后，馬托夏有些擔心是否擊敗了神使會帶來不祥之事，不過卡利卡提議如果擔心受詛咒，可以向鯨魚雕像祈禱，因此我會為馬托夏記錄下相關步驟。<hex:02100103>首先，在發現神祇雕像的地方，站在鯨魚雕像前唱出「穿越水平線的神啊「（""O messenger from beyond the horizon, hear me.""、""水平線を渡る神よ""），這樣可以得到祝福。接著順時針繞神祇雕像一週，然後逆時針繞一週，最後在鯨魚雕像前跳舞完成祈禱儀式。儘管細節有所不同，但對自然界動物的神聖信仰，與多神教的薩貝尼亞有些相似之處。"
28,食用有毒的魚,『這條龍鱸魚的拉力很強，對於我這個漁夫來說也是一場激烈的戰鬥！』馬托夏釣到的「龍鱸魚」有個特性，會將攝取的毒素積聚在體內，因此不適合作為食用魚。雖然它並非天生的有毒生物，但並非不可食用，不過有人為了探索其功效，像煉金術士一樣冒險地嘗試未知材料並喪命，所以要是有人嘗試食用這種魚也不足為奇。幸運的是，這種魚在德米爾的遺蹟鄉的煉金素材圖鑑中有記載，因此我能避免無謂的冒險。<hex:02100103>看起來，和漢薩毒腺中獲得的毒液一樣，這條魚積累的毒素也可以作為煉金素材使用。它可能會積聚大量毒素，得益於豐富的食物來源和豐富的自然力量。此外，根據卡利卡的講述，據說過去島上的居民們感謝這種能處理攝取的含毒海藻和小魚的魚。如果釣到了它，他們會送它回大海，伴以感謝的話語……但是把它帶回家，是正確的選擇嗎？
29,算術和秘術的痕跡,『這裡充滿綠色，還有引人注目的紅花在路邊綻放……我一邊走一邊欣賞，突然發現前方出現了奇怪的木雕人偶，真是讓人吃驚！』大約100年前，阿洛阿洛島附近的海底火山爆發了。海嘯襲來，加之火山噴發導致陽光長時間被遮蔽，環境發生了劇烈變化，當時的島民不得不做出艱難的決定離開他們習慣了的家園。幸運逃脫海嘯的船隻也被大量的火山碎石所阻擋，離開島嶼變得相當艱難。<hex:02100103>此外，阿洛阿洛島上充斥著使用算術進行研究的記錄以及與之後的巴術相關的魔導書等大量成果物。據說帶走所有這些東西是相當困難的，馬托夏他們遭遇的木製人偶「拉拉」只是其中之一，不得不留下的物品並不少。拉拉似乎還儲存完好，但據卡利卡所說，大部分書籍等都被自然吞沒，隨著時間的流逝消失得無影無蹤。<hex:02100103>儘管阿洛阿洛島現在是無人居住的，但南洋群島中仍有人類居住的島嶼。這樣的有人居住的島嶼可能留存有在疏散時帶來的資料和文獻，至今仍然保留著。
30,人們聚集在大樹下,『雖然薩貝尼亞島也有大樹，但沒有那麼巨大。那也是自然豐盛的力量的影響嗎……？』據說，那棵巨樹在卡利卡出生時就已經存在於阿洛阿洛島上。周圍聚集著志在研究算術的島民，形成了一個聚落。他們日復一日地努力研究著「神子寶玉」所蘊含的「豐富自然的力量」的秘密。作為他們研究的副產品，誕生了刻在大樹上的各種「魔紋」。卡利卡提到的讓人感興趣的是從魔物的血液中提取乙太來促進植物生長的魔紋。據說只要有四種魔物的血液，就可以延伸大樹的樹枝，如果能加以利用，或許可以開闢新的道路。<hex:02100103>但是，如果他們在研究寶玉的力量，為什麼沒有以擁有寶玉的神子雕像被放置的「祭祀場」為基地呢？詢問卡利卡得知，祭祀場似乎被施加了奇異的力量……很可能是被那些被稱為「被遺忘的人們」的前島民施加的魔法，常年籠罩在濃霧之中。為了準備一種能控制這種神秘霧氣的「魔具」，他們最初選擇了大樹作為基地，但可能是覺得居住環境宜人，或者研究取得了成果，所以在大樹那裡定居下來了。
31,給小夥伴的愛,"『如果是茂密的樹林，會不會有像卡利卡一樣能說話的文鳥呢？』聽到這句話，卡利卡驕傲地說：「能說人類語言的文鳥只有我一隻！」然而，普通的文鳥似乎早已在此地繁衍生息，成為了阿洛阿洛島上的信仰對象。我詢問卡利卡是否有對文鳥的祈願，她不情願地告訴了我步驟。為了不忘記，我將其記錄下來。<hex:02100103>當你找到了神祇雕像排列的地方，可以在文鳥雕像前面唱「翱翔天空的神啊」（""O dancer of the skies, hear me.""、""天空を舞う神よ""）來獲得祝福。接著，在文鳥雕像前面投飛吻，然後順時針繞神祇雕像一週，最後在文鳥雕像前表演舞蹈，這就是祈禱的步驟。雖然我試圖對卡利卡投飛吻以獲取祝福，但她只是嘆了口氣並轉過了頭。真是傷心，明明我那麼喜歡卡利卡，而且也竭盡所能地照顧她。也許我應該準備更美味的食物給她，或者每天不放棄地向她投飛吻，又或者……（對卡利卡的深情表白長篇連載中）"
32,智慧之魚,『竟然在樹林里也能釣到魚……雖然通常都是在海里釣魚，但和淡水魚的搏鬥也很有趣！』據卡利卡說，馬托夏釣到的是一種名為「弗洛凱羅」的魚。據說過去人們會將它的堅硬鱗片曬乾並磨光，用作算盤的珠子。而且，烤熟后非常美味，過去的島民們認為食用它能變得更聰明。這是因為這種魚確實對智力有幫助，還是僅僅是與算盤相關的迷信呢？作為一名煉金術士，我對此產生了濃厚的興趣。<hex:02100103>我接過馬托夏遞過來的魚，立刻進行了調查……遺憾的是，檢測結果顯示可食部分只含有普通的成分，沒有什麼重要的發現。相反，這種魚的鱗片似乎具有藥效，可以仔細削下並曬乾，然後作為煉金素材加以利用。如果想變聰明，也許應該……不，鱗片太硬了，味道也很糟糕。如果期待其藥效，最好是將鱗片磨成粉末，然後製成丸劑直接吞服。
33,使魔的歷史,『那個精靈的緣故，我遭受了可怕的遭遇。嗚嗚，我再也不想見到她了……！』那個精靈自稱為「斯塔爾奇斯」，是一隻迷路的使魔。卡利卡也為她的暴行感到頭疼，似乎曾經拿出奇怪的工具試圖捕捉她。簡直是個惡毒至極的存在……無論如何，是否能夠避開她的陷阱繼續前進呢。<hex:02100103>據卡利卡說，巴爾布蘭德島上的城邦國家「尼姆」在第六靈災後崩潰，一些軍事學者逃往了阿羅阿羅島。從這樣的歷史來看，如果一些軍事學者的使魔——比如精靈——也隨之來到了這個島嶼，也就不足為奇了。然而，通常來說，如果主人死亡導致乙太供應中斷，使魔也會失去形態。如果斯塔爾奇斯一直在單獨行動，那就說明她有某種乙太供應手段。這也與「自然豐盈之力」有關嗎。<hex:02100103>順便提一句，像精靈這樣的使魔技術，後來成為了巴爾布蘭德巴術士操控卡班克爾的技術的雛形。反過來說，可以追溯到在島上生活的「被遺忘之人」所創造的木像式使魔，連線了歷史，這是非常有趣的事情。
34,信仰的殘餘,"『抵達的遺蹟般的地方，有著某種神聖的氛圍。可能是阿羅阿羅島的神明降臨之地……』像薩維尼亞島上衆園森林裡的普爾夏寺那樣的地方嗎……從馬托夏的話中可以想像，實際上這是關於阿羅阿羅島信仰的地方，卡利卡告訴我。在遺蹟的某處，似乎有像祭典場所一樣的地方，擺放著神明的雕像。比如，作為海洋生物的「海龜」被尊奉為神聖存在，似乎也有它的雕像。作為漁夫的馬托夏與海有著緊密的關係，如果看到這樣的雕像，向海龜之神祈禱也是一個好主意，卡利卡提議道。為了幫助馬托夏的平安祈願，我打算記錄下這些作法。<hex:02100103>首先，找到神明的雕像位置后，在海龜雕像前唱起「在陸地誕生，航行於海洋之神」（""O wayfarer of land and sea, hear me.""、""陸に生まれ海を行く""）這樣的讚美詩，據說就能獲得祝福。然後，繼續繞神明的雕像逆時針方向轉兩圈，最後在海龜雕像前鞠躬，祈禱儀式就完成了。<hex:02100103>神明的雕像似乎分佈在居住區遺址上，它們的排列可能也有一定的意義……不管怎樣，就像拉札罕一樣，阿羅阿羅島的生活也深深根植于信仰之中。"
35,曾經是拉拉菲爾族的魚,『釣到了一種很奇怪的魚！看起來有點像人的臉，是一種很可愛有趣的傢伙！』儘管我希望與馬托夏成為好朋友，但不幸的是，我們在這件事上似乎意見不合。說實話，他在阿羅阿羅島釣到的魚，對我來說有點毛骨悚然。我只認為像卡利卡這樣的孩子才可愛，看來在「可愛的標準」方面，我和馬托夏似乎無法達成共識。<hex:02100103>好了，暫時放下這種令人沮喪的舊友之間的分歧。我問了一下卡利卡關於這種看起來很奇怪的魚的事情，據說曾經在阿羅阿羅島生活的人們稱之為「拉拉烏魯斯」。聽說，他們認為它是「在暴風雨的日子裡落入水中的拉拉菲爾族轉變而來的存在」，所以如果不想變成這樣的魚，就不要在暴風雨來臨時靠近水邊，他們對孩子們如此告誡。如果拉拉菲爾族轉變而來的說法是真的，那麼將它作為煉金素材使用可能會讓人感到不安。我想這可能只是對孩子們的教育故事，但我的心情還是有些複雜。
36,閃耀著金色回憶,『在薩貝尼亞島從未見過的一條華麗的金色魚被釣了上來……！這一定是阿羅阿羅島的「主」！』據說阿羅阿羅島曾經流行過幼兒熱病。在那個時候，有一次在祭祀場釣到的魚被煮成了魚丸湯，然後餵給了患病的孩子，結果孩子立刻康復了。而且從那之後，他們沒有再患病，健康地成長了下去。從此，每當島上誕生一個新生兒，他們會在祭祀場釣到金色魚「貢貝薩」，並把它做成魚丸湯餵給孩子，這成為了一種習慣。神子像的祭祀場似乎更容易顯現出寶玉的力量，因此這條魚的功效也更加突出。據推測，它也具有極高的煉金素材價值。<hex:02100103>雖然我和馬托夏從小時候就是朋友了，但由於工作不同，長期以來很少有機會共同合作。這次能夠和他們一起行動，結識了可愛的朋友卡利卡，還能進行罕見的煉金素材分析，真是太開心了……我開始寫這篇手記的初衷是希望能對馬托夏等人有所幫助，但不知不覺中它已成為了回憶的一部分。我由衷地感謝給我創造機會的卡利卡和馬托夏，以及使我能夠造訪阿羅阿羅島的那位冒險者。
